id,title,body,department,sentiment
96,Bagno con muffa e asciugamani ,Bagno con muffa e asciugamani sporchi..,Housekeeping,neg
37,Bagno ordinato e lenzuola fres,Bagno ordinato e lenzuola fresche..,Housekeeping,pos
334,Ristorante pulito e accoglient,Ristorante pulito e accogliente davvero.,F&B,pos
258,Errore nella prenotazione.,Errore nella prenotazione decisamente.,Reception,neg
253,Personale scortese e poco disp,Personale scortese e poco disponibile davvero.,Reception,neg
129,Cattivo odore in stanza.,Cattivo odore in stanza assolutamente.,Housekeeping,neg
25,Stanza impeccabile e accoglien,Stanza impeccabile e accogliente assolutamente.,Housekeeping,pos
279,Accoglienza fredda e confusion,Accoglienza fredda e confusione alla reception decisamente.,Reception,neg
93,Bagno con muffa e asciugamani ,Bagno con muffa e asciugamani sporchi..,Housekeeping,neg
257,Errore nella prenotazione.,Errore nella prenotazione davvero.,Reception,neg
46,Servizio pulizie eccellente.,Servizio pulizie eccellente!.,Housekeeping,pos
41,Bagno ordinato e lenzuola fres,Bagno ordinato e lenzuola fresche davvero.,Housekeeping,pos
301,Colazione abbondante e buoniss,Colazione abbondante e buonissima!.,F&B,pos
75,Camera luminosa,"Camera luminosa, fresca e confortevole!.",Housekeeping,pos
335,Ristorante pulito e accoglient,Ristorante pulito e accogliente..,F&B,pos
135,Cattivo odore in stanza.,Cattivo odore in stanza assolutamente.,Housekeeping,neg
141,Pulizie scadenti e polvere ovu,Pulizie scadenti e polvere ovunque molto.,Housekeeping,neg
130,Cattivo odore in stanza.,Cattivo odore in stanza assolutamente.,Housekeeping,neg
427,Esperienza culinaria deludente,Esperienza culinaria deludente davvero.,F&B,neg
291,Problemi con il pagamento e po,Problemi con il pagamento e poca organizzazione..,Reception,neg
78,Camera sporca e maleodorante.,Camera sporca e maleodorante molto.,Housekeeping,neg
445,Personale distratto al ristora,Personale distratto al ristorante!.,F&B,neg
385,Colazione scarsa e di bassa qu,Colazione scarsa e di bassa qualità davvero.,F&B,neg
50,Servizio pulizie eccellente.,Servizio pulizie eccellente davvero.,Housekeeping,pos
418,Piatti sporchi e buffet limita,Piatti sporchi e buffet limitato!.,F&B,neg
271,Accoglienza fredda e confusion,Accoglienza fredda e confusione alla reception!.,Reception,neg
242,Personale scortese e poco disp,Personale scortese e poco disponibile..,Reception,neg
111,Lenzuola macchiate e pavimento,Lenzuola macchiate e pavimento appiccicoso molto.,Housekeeping,neg
118,Lenzuola macchiate e pavimento,Lenzuola macchiate e pavimento appiccicoso..,Housekeeping,neg
315,Colazione abbondante e buoniss,Colazione abbondante e buonissima..,F&B,pos
286,Problemi con il pagamento e po,Problemi con il pagamento e poca organizzazione molto.,Reception,neg
